
"Year","Sex","Educational level","Employed total, 1000 persons"
"2009","Total","Total",2428
"2009","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1111
"2009","Total","5 Short-cycle tertiary education",336
"2009","Total","5-8 Tertiary education",892
"2009","Total","6 Bachelor's or equivalent level",267
"2009","Total","7-8 Master's or equivalent level or doctoral or equivalent level",289
"2009","Total","9, X Basic education or level of education unknown",425
"2009","Males","Total",1240
"2009","Males","3-4 Upper secondary education or post-secondary non-tertiary education",606
"2009","Males","5 Short-cycle tertiary education",125
"2009","Males","5-8 Tertiary education",385
"2009","Males","6 Bachelor's or equivalent level",121
"2009","Males","7-8 Master's or equivalent level or doctoral or equivalent level",139
"2009","Males","9, X Basic education or level of education unknown",248
"2009","Females","Total",1188
"2009","Females","3-4 Upper secondary education or post-secondary non-tertiary education",504
"2009","Females","5 Short-cycle tertiary education",211
"2009","Females","5-8 Tertiary education",506
"2009","Females","6 Bachelor's or equivalent level",145
"2009","Females","7-8 Master's or equivalent level or doctoral or equivalent level",150
"2009","Females","9, X Basic education or level of education unknown",177
"2010","Total","Total",2411
"2010","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1101
"2010","Total","5 Short-cycle tertiary education",331
"2010","Total","5-8 Tertiary education",911
"2010","Total","6 Bachelor's or equivalent level",276
"2010","Total","7-8 Master's or equivalent level or doctoral or equivalent level",304
"2010","Total","9, X Basic education or level of education unknown",400
"2010","Males","Total",1242
"2010","Males","3-4 Upper secondary education or post-secondary non-tertiary education",605
"2010","Males","5 Short-cycle tertiary education",124
"2010","Males","5-8 Tertiary education",399
"2010","Males","6 Bachelor's or equivalent level",127
"2010","Males","7-8 Master's or equivalent level or doctoral or equivalent level",148
"2010","Males","9, X Basic education or level of education unknown",238
"2010","Females","Total",1169
"2010","Females","3-4 Upper secondary education or post-secondary non-tertiary education",496
"2010","Females","5 Short-cycle tertiary education",207
"2010","Females","5-8 Tertiary education",512
"2010","Females","6 Bachelor's or equivalent level",149
"2010","Females","7-8 Master's or equivalent level or doctoral or equivalent level",155
"2010","Females","9, X Basic education or level of education unknown",162
"2011","Total","Total",2437
"2011","Total","3-4 Upper secondary education or post-secondary non-tertiary education",1113
"2011","Total","5 Short-cycle tertiary education",328
"2011","Total","5-8 Tertiary education",934
"2011","Total","6 Bachelor's or equivalent level",294
